,noun_chunk,sentences
254,review,"This is the second Cuisinart I own. The motor burned on the first one. I bought the same one as to preserve the Lid from the first one as a Spare. I had the Braun counterpart before and the lid broke on me. The only real complain I have about this unit is the fact that the lid is very dark and you can't see well inside to evaluate the grinding process.

I liked the Braun better as the lid is clear and you can see what's happening inside; this way you can achieve the proper grind without opening the lid to check.

The Braun has 150 Watt motor while the Cuisinart has 130 W. The Cuisinart looks more modern and sharper. With either you can get a good grind, but I would go with the Braun.....I'm currently considering a Burr grinder, but I can't sell my self that it'll be worth all that counter realstate....I keep my coffee in the fridge, and after grinding it to fine it does not feel hot, maybe warm if I grind to a super fine. From the reviews I read on the Burr Grinders, it looks like a lot more hassle, but what the heck, we love to complicate our lives...."
262,unit,"This is the second Cuisinart I own. The motor burned on the first one. I bought the same one as to preserve the Lid from the first one as a Spare. I had the Braun counterpart before and the lid broke on me. The only real complain I have about this unit is the fact that the lid is very dark and you can't see well inside to evaluate the grinding process.

I liked the Braun better as the lid is clear and you can see what's happening inside; this way you can achieve the proper grind without opening the lid to check.

The Braun has 150 Watt motor while the Cuisinart has 130 W. The Cuisinart looks more modern and sharper. With either you can get a good grind, but I would go with the Braun.....I'm currently considering a Burr grinder, but I can't sell my self that it'll be worth all that counter realstate....I keep my coffee in the fridge, and after grinding it to fine it does not feel hot, maybe warm if I grind to a super fine. From the reviews I read on the Burr Grinders, it looks like a lot more hassle, but what the heck, we love to complicate our lives...."
263,Cuisinart,"This is the second Cuisinart I own. The motor burned on the first one. I bought the same one as to preserve the Lid from the first one as a Spare. I had the Braun counterpart before and the lid broke on me. The only real complain I have about this unit is the fact that the lid is very dark and you can't see well inside to evaluate the grinding process.

I liked the Braun better as the lid is clear and you can see what's happening inside; this way you can achieve the proper grind without opening the lid to check.

The Braun has 150 Watt motor while the Cuisinart has 130 W. The Cuisinart looks more modern and sharper. With either you can get a good grind, but I would go with the Braun.....I'm currently considering a Burr grinder, but I can't sell my self that it'll be worth all that counter realstate....I keep my coffee in the fridge, and after grinding it to fine it does not feel hot, maybe warm if I grind to a super fine. From the reviews I read on the Burr Grinders, it looks like a lot more hassle, but what the heck, we love to complicate our lives...."
271,motor,"This is the second Cuisinart I own. The motor burned on the first one. I bought the same one as to preserve the Lid from the first one as a Spare. I had the Braun counterpart before and the lid broke on me. The only real complain I have about this unit is the fact that the lid is very dark and you can't see well inside to evaluate the grinding process.

I liked the Braun better as the lid is clear and you can see what's happening inside; this way you can achieve the proper grind without opening the lid to check.

The Braun has 150 Watt motor while the Cuisinart has 130 W. The Cuisinart looks more modern and sharper. With either you can get a good grind, but I would go with the Braun.....I'm currently considering a Burr grinder, but I can't sell my self that it'll be worth all that counter realstate....I keep my coffee in the fridge, and after grinding it to fine it does not feel hot, maybe warm if I grind to a super fine. From the reviews I read on the Burr Grinders, it looks like a lot more hassle, but what the heck, we love to complicate our lives...."
275,lid,"This is the second Cuisinart I own. The motor burned on the first one. I bought the same one as to preserve the Lid from the first one as a Spare. I had the Braun counterpart before and the lid broke on me. The only real complain I have about this unit is the fact that the lid is very dark and you can't see well inside to evaluate the grinding process.

I liked the Braun better as the lid is clear and you can see what's happening inside; this way you can achieve the proper grind without opening the lid to check.

The Braun has 150 Watt motor while the Cuisinart has 130 W. The Cuisinart looks more modern and sharper. With either you can get a good grind, but I would go with the Braun.....I'm currently considering a Burr grinder, but I can't sell my self that it'll be worth all that counter realstate....I keep my coffee in the fridge, and after grinding it to fine it does not feel hot, maybe warm if I grind to a super fine. From the reviews I read on the Burr Grinders, it looks like a lot more hassle, but what the heck, we love to complicate our lives...."
285,spice,"This little coffee grinder is fantastic. I do not use it to grind coffee, I use it to grind spices. I make my own curries from scratch and I needed a little grinder to grind the tiny spice seeds like cumin, coriander and mustard. It is wonderful and all of the women in my family would like one. I already bought one for my mom and I am going to purchase more."
298,review,"I got this because it was on the deal of the day. And sometimes I can find great deals on whole bean coffee and you need something to grind it up. The price was great! I have not used it as of this review, but when I do if it does not live up to what it says I will come back and adjust my review. But it came on time, was packed nice."
300,price,"I got this because it was on the deal of the day. And sometimes I can find great deals on whole bean coffee and you need something to grind it up. The price was great! I have not used it as of this review, but when I do if it does not live up to what it says I will come back and adjust my review. But it came on time, was packed nice."
311,counter,"Great little grinder. 3 weeks ago I bought the Krups model and instantly hated it b/c the grounds at the bottom get trapped and get ground down to fine dust while the beans at the top are ground course. No such problem with this little gem - because the well is round, not oval, the grinding results in a uniform grind. Great price, looks nice on the counter and not too noisy. I love it."
312,problem,"Great little grinder. 3 weeks ago I bought the Krups model and instantly hated it b/c the grounds at the bottom get trapped and get ground down to fine dust while the beans at the top are ground course. No such problem with this little gem - because the well is round, not oval, the grinding results in a uniform grind. Great price, looks nice on the counter and not too noisy. I love it."
314,ground,"Great little grinder. 3 weeks ago I bought the Krups model and instantly hated it b/c the grounds at the bottom get trapped and get ground down to fine dust while the beans at the top are ground course. No such problem with this little gem - because the well is round, not oval, the grinding results in a uniform grind. Great price, looks nice on the counter and not too noisy. I love it."
317,use,"Not only do I have this grinder but I have bought it for my mom, my sister, and a friend. We drink a lot of coffee so in some households it gets used up to 3 or 4 times a day depending on what is going on. My mom's only complaint is that it is a little noisy. But she used her first one so much that 2 years later the blades wore off. I bought her another one of the same thing. She also bought one for use at work. I have had mine for at least 3 years and if it ever wears out I will buy another of the same. It is affordable and dependable."
322,blade,"Not only do I have this grinder but I have bought it for my mom, my sister, and a friend. We drink a lot of coffee so in some households it gets used up to 3 or 4 times a day depending on what is going on. My mom's only complaint is that it is a little noisy. But she used her first one so much that 2 years later the blades wore off. I bought her another one of the same thing. She also bought one for use at work. I have had mine for at least 3 years and if it ever wears out I will buy another of the same. It is affordable and dependable."
345,coffee grinder,"This grinder lives in my kitchen right next to my sink. It is subjected to a continual flow of crud coming out of the sink and floods from coffee spills, and sink overflows, flying dough and vegetables, the works. It is extremely sturdy, and does tend to grind my coffee just as I like.
My only complaint is that it is a little hard to clean; but then I've never had a coffee grinder that was easy to clean."
353,cup,"This is the first coffee grinder I've purchased. PRO: its fast, The coffee has consistent size of grounds when done. It was inexpensive compared with others. CON: I never seem to get all of the coffee out of the grinder, there is always a little bit that sticks in the metal bowl under the cutter and I have to use a finger to get it all out. It's a toss up if I've actually put enough coffee beans in the grinder. There are measuring ""dots"" on the side of the lid that can be used to measure the amount of beans you're adding to the grinder, but with irregular shaped beans, you never know if the measure is to the top or middle of the bean level. Cord storage is an issue, especially before you've had your first cup of coffee in the morning..."
362,lid,"This is the first coffee grinder I've purchased. PRO: its fast, The coffee has consistent size of grounds when done. It was inexpensive compared with others. CON: I never seem to get all of the coffee out of the grinder, there is always a little bit that sticks in the metal bowl under the cutter and I have to use a finger to get it all out. It's a toss up if I've actually put enough coffee beans in the grinder. There are measuring ""dots"" on the side of the lid that can be used to measure the amount of beans you're adding to the grinder, but with irregular shaped beans, you never know if the measure is to the top or middle of the bean level. Cord storage is an issue, especially before you've had your first cup of coffee in the morning..."
363,ground,"This is the first coffee grinder I've purchased. PRO: its fast, The coffee has consistent size of grounds when done. It was inexpensive compared with others. CON: I never seem to get all of the coffee out of the grinder, there is always a little bit that sticks in the metal bowl under the cutter and I have to use a finger to get it all out. It's a toss up if I've actually put enough coffee beans in the grinder. There are measuring ""dots"" on the side of the lid that can be used to measure the amount of beans you're adding to the grinder, but with irregular shaped beans, you never know if the measure is to the top or middle of the bean level. Cord storage is an issue, especially before you've had your first cup of coffee in the morning..."
373,way,"I recently purchased a Cuisinart Cuisinart DCG-20N Coffee Bar Coffee Grinder, White. I bought it because my Cuisinart Grind and Brew coffee maker did not grind the coffee fine enough for my taste and there is no way to adjust it.

The DCG-20N coffee grinder is probably the poorest designed coffee grinder I have ever seen. The lid for the grinder fits INSIDE the bowl of the grinder. It is almost impossible to get the lid on once the bowl is filled with coffee beans. You can force the lid on, but then there are coffee beans that are trapped outside the lid between the lid and the casing. Then when you go to pour the ground coffee out, you get some beans that did not get ground at all. Why in the name of all that is sane did you have the lid go INSIDE the casing???

If I had not already thrown away the box it came in, I would CERTAINLY have returned it!

I bought a Cuisinart grinder expecting a quality product. I certainly did NOT get one with this coffee grinder!"
375,ground coffee,"I recently purchased a Cuisinart Cuisinart DCG-20N Coffee Bar Coffee Grinder, White. I bought it because my Cuisinart Grind and Brew coffee maker did not grind the coffee fine enough for my taste and there is no way to adjust it.

The DCG-20N coffee grinder is probably the poorest designed coffee grinder I have ever seen. The lid for the grinder fits INSIDE the bowl of the grinder. It is almost impossible to get the lid on once the bowl is filled with coffee beans. You can force the lid on, but then there are coffee beans that are trapped outside the lid between the lid and the casing. Then when you go to pour the ground coffee out, you get some beans that did not get ground at all. Why in the name of all that is sane did you have the lid go INSIDE the casing???

If I had not already thrown away the box it came in, I would CERTAINLY have returned it!

I bought a Cuisinart grinder expecting a quality product. I certainly did NOT get one with this coffee grinder!"
376,lid,"I recently purchased a Cuisinart Cuisinart DCG-20N Coffee Bar Coffee Grinder, White. I bought it because my Cuisinart Grind and Brew coffee maker did not grind the coffee fine enough for my taste and there is no way to adjust it.

The DCG-20N coffee grinder is probably the poorest designed coffee grinder I have ever seen. The lid for the grinder fits INSIDE the bowl of the grinder. It is almost impossible to get the lid on once the bowl is filled with coffee beans. You can force the lid on, but then there are coffee beans that are trapped outside the lid between the lid and the casing. Then when you go to pour the ground coffee out, you get some beans that did not get ground at all. Why in the name of all that is sane did you have the lid go INSIDE the casing???

If I had not already thrown away the box it came in, I would CERTAINLY have returned it!

I bought a Cuisinart grinder expecting a quality product. I certainly did NOT get one with this coffee grinder!"
379,ground,"I recently purchased a Cuisinart Cuisinart DCG-20N Coffee Bar Coffee Grinder, White. I bought it because my Cuisinart Grind and Brew coffee maker did not grind the coffee fine enough for my taste and there is no way to adjust it.

The DCG-20N coffee grinder is probably the poorest designed coffee grinder I have ever seen. The lid for the grinder fits INSIDE the bowl of the grinder. It is almost impossible to get the lid on once the bowl is filled with coffee beans. You can force the lid on, but then there are coffee beans that are trapped outside the lid between the lid and the casing. Then when you go to pour the ground coffee out, you get some beans that did not get ground at all. Why in the name of all that is sane did you have the lid go INSIDE the casing???

If I had not already thrown away the box it came in, I would CERTAINLY have returned it!

I bought a Cuisinart grinder expecting a quality product. I certainly did NOT get one with this coffee grinder!"
385,grind,"This little grinder gets the job done and gets it done well. The capacity may be a bit low, but it's perfect for my little 4 cup coffee maker. If only it was a bit bigger, and the grinder was shaped so that pouring the grinds was a bit easier and cleaner, it would get 5 stars."
396,product,This is a truly FANTASTIC product. It looks exactly like it is in the picture and works as promised. My wife has been repenting as to why she did not discover this product a decade ago. She is now feeling sorry for all the lost time using other products. Superb investment!!!
404,motor,"Motor quit the second day! I am not kidding. And as others said, it really wasn't big enough. If you got your 12 cups worth you had to remove the lid over another container because the grounds will spill out. Finally, it is poorly designed with an extra wall in the lid - the only function of which is to capture grounds and beans so you can have trouble cleaning it.

I'm a fool. After buying their combo grinder/maker for our new second home, I gave up cleaning that joke every day and got the seperate maker and grinder of the same brand.

I'm a fool, don't be like me. Buy performance, not looks. Back to Krups."
412,Krups,"Motor quit the second day! I am not kidding. And as others said, it really wasn't big enough. If you got your 12 cups worth you had to remove the lid over another container because the grounds will spill out. Finally, it is poorly designed with an extra wall in the lid - the only function of which is to capture grounds and beans so you can have trouble cleaning it.

I'm a fool. After buying their combo grinder/maker for our new second home, I gave up cleaning that joke every day and got the seperate maker and grinder of the same brand.

I'm a fool, don't be like me. Buy performance, not looks. Back to Krups."
415,ground coffee,The grinder works as expected so good value for the money. The only flaw it seems to have is that it has to be carefully cleaned after each use if you don't want ground coffee on your kitchen counter. That's why it didn't get 5 stars. I'm a big Cuisinart fan and this looks great next to all my other Cusinart appliances so I recommend it.
416,use,The grinder works as expected so good value for the money. The only flaw it seems to have is that it has to be carefully cleaned after each use if you don't want ground coffee on your kitchen counter. That's why it didn't get 5 stars. I'm a big Cuisinart fan and this looks great next to all my other Cusinart appliances so I recommend it.
426,use,"My wife recently broke ours, after about three months of use. It did not surprise me that she dropped it, considering how badly designed it is. Its diameter is too big to comfortably grip in one hand, especially with the portion sticking out along the right edge. The top does not fit very well, allowing it to easily fall off (and break) unless the grinder is held perfectly upright. The grinder bowl only holds about 8 scoops max of beans (8-10 cups of coffee), and when full, the blade struggles to work through the beans, leaving some unground near the top."
429,blade,"My wife recently broke ours, after about three months of use. It did not surprise me that she dropped it, considering how badly designed it is. Its diameter is too big to comfortably grip in one hand, especially with the portion sticking out along the right edge. The top does not fit very well, allowing it to easily fall off (and break) unless the grinder is held perfectly upright. The grinder bowl only holds about 8 scoops max of beans (8-10 cups of coffee), and when full, the blade struggles to work through the beans, leaving some unground near the top."
440,motor,"great look but very bad design....just the tiniest ""thing"" that engages the motor when you push the button down.....worked 3 times then failed to connect. I have a 10 year old ""Mr. Coffee"" that does extremely well, although it has high EMF's and to keep my hand away from the strong EMF's I use the butt end of a wooden spoon to push down the button while grinding coffee....."
442,button,"great look but very bad design....just the tiniest ""thing"" that engages the motor when you push the button down.....worked 3 times then failed to connect. I have a 10 year old ""Mr. Coffee"" that does extremely well, although it has high EMF's and to keep my hand away from the strong EMF's I use the butt end of a wooden spoon to push down the button while grinding coffee....."
447,product,"The packaging did not appear to be damaged, but when I opened the actual product, it fell apart into at least 10 pieces! I figured okay, let me put it back together, but it was so irreparably damaged, that the pieces were not fitting together either. Not only that, the housing had also fallen apart, and the motor mechanism and wires were all totally visible and exposed. The product seems to have good reviews, so I'm going to call this a one-off, but still such a disappointment. Returning and ordering a similar one (the Krups one)."
457,Krups,"The packaging did not appear to be damaged, but when I opened the actual product, it fell apart into at least 10 pieces! I figured okay, let me put it back together, but it was so irreparably damaged, that the pieces were not fitting together either. Not only that, the housing had also fallen apart, and the motor mechanism and wires were all totally visible and exposed. The product seems to have good reviews, so I'm going to call this a one-off, but still such a disappointment. Returning and ordering a similar one (the Krups one)."
468,Cuisinart,"I had a Krups coffee grinder for 20 years so when it died I thought, ""Why not try Cuisinart?"" Well, unlike my food processor and coffeemaker, which serve me well, this Cuisinart product is a colossal disappointment! Unfortunately my window for return passed due to my busy life and I am stuck with the dang thing, but wow, what a weenie power level, what a small volume of beans it holds and Heaven forbid you overfill it, .....the beans on the top will not be ground and you end up dumping it into a bowl and re-grinding the bath a half at a time. A time burning, mess-making ineffective appliance! I gave it one star because it does, eventually, grind the coffee and its design is attractive but I DO NOT RECCOMMEND PURCHASING THIS MODEL,"
484,problem,"I've used and owned a few coffee grinders over the years and I was given this one as a gift from my gf.How can I politely say horrible gift without being ""shut out"".Firstly and foremost of it's problems is it is not high capacity.It does not grind for 12 cups unless you prefer really weak coffee.The capacity is very small,maybe 7 cups and transporting the ground coffee and inserting it into your coffee filter takes dexterity and magic as when you lift the top to pour,coffee grinds spill all over your countertop,wasting most if not all of your precious ground coffee.Also,if the top is not securely placed,it will not grind and if you put too many beans,they will just spin around without being ground....which leads to the first problem of sweeping up your unground coffee.Funny that I purchased a $10 no-name grinder with a large capacity cup 12 years ago that never let me down.Ah,those were the days of quality and endurance.Anyway I shelved the cuisinart and bought the Mr.Coffee( -IDS55-4-Grinder-White) instead.....love it!"
494,year,"I've used and owned a few coffee grinders over the years and I was given this one as a gift from my gf.How can I politely say horrible gift without being ""shut out"".Firstly and foremost of it's problems is it is not high capacity.It does not grind for 12 cups unless you prefer really weak coffee.The capacity is very small,maybe 7 cups and transporting the ground coffee and inserting it into your coffee filter takes dexterity and magic as when you lift the top to pour,coffee grinds spill all over your countertop,wasting most if not all of your precious ground coffee.Also,if the top is not securely placed,it will not grind and if you put too many beans,they will just spin around without being ground....which leads to the first problem of sweeping up your unground coffee.Funny that I purchased a $10 no-name grinder with a large capacity cup 12 years ago that never let me down.Ah,those were the days of quality and endurance.Anyway I shelved the cuisinart and bought the Mr.Coffee( -IDS55-4-Grinder-White) instead.....love it!"
501,ground coffee,"I've used and owned a few coffee grinders over the years and I was given this one as a gift from my gf.How can I politely say horrible gift without being ""shut out"".Firstly and foremost of it's problems is it is not high capacity.It does not grind for 12 cups unless you prefer really weak coffee.The capacity is very small,maybe 7 cups and transporting the ground coffee and inserting it into your coffee filter takes dexterity and magic as when you lift the top to pour,coffee grinds spill all over your countertop,wasting most if not all of your precious ground coffee.Also,if the top is not securely placed,it will not grind and if you put too many beans,they will just spin around without being ground....which leads to the first problem of sweeping up your unground coffee.Funny that I purchased a $10 no-name grinder with a large capacity cup 12 years ago that never let me down.Ah,those were the days of quality and endurance.Anyway I shelved the cuisinart and bought the Mr.Coffee( -IDS55-4-Grinder-White) instead.....love it!"
509,Amazon,"I cannot state strongly enough how quickly you should run from this piece of junk. I've owned coffee grinders for decades - mine is a German brand (update: just checked, mine is a Siemens, and I don't find them anymore on Amazon, which is too bad) - and we just got this model at my mom's house. It simply doesn't work. Isn't strong enough. Doesn't hold enough coffee. The blade isn't sharp enough. And then it started smoking from the ""overwork.""

1. This holds far fewer coffee beans than my German model. Which is a problem when you're using a cafetiere that requires a decent amount of ground coffee. Again, compared to my other model, this holds far less coffee.

2. Either the blade isn't sharp enough, or fast enough, or the motor isn't strong enoug, but it simply wouldn't chop up the beans fully. I was going to attach a photo of what it did to my Jamaica Blue Mountain beans after about a minute of grinding (which entailed the machine constantly stopping and me constantly sticking my finger in there to unjam the blade), but I seem to have lost that option in these reviews. Suffice it to say I had chunks of coffee grounds throughout - this stuff didn't even look like Folgers, let alone halfway to espresso, which is how I like my coffee. There were huge chunks of beans in there, a lot of them. It's not that the device doesn't work well, it doesn't work - period.

3. It start smoking after a few minutes of unjamming the thing and trying to continue grinding the beans.

I have owned similar devices for decades. This thing is a piece of junk. It even feels like a piece of junk - very lightweight, in a bad way. At it most basic level, grinding coffee, this thing failed. It simply didn't grind the coffee at all. I'm really disappointed that Cuisinart would put its name on something like this. (I tried to find out where it's made, but it wasn't entirely clear from the box.)

You can check my other reviews, I don't pan everything. This, however, is a piece of garbage. Run, don't walk, to another brand as fast as you can. It's not worth twenty bucks. It's not worth two bucks. It simply doesn't work.

UPDATE: It's dead. Mom just tried using it, and the thing is dead. Mind you, we used this thing once, followed the instructions about not putting in too much coffee (mind you, my german brand has no such rules), and it smoked and went to coffee grinder heaven."
511,review,"I cannot state strongly enough how quickly you should run from this piece of junk. I've owned coffee grinders for decades - mine is a German brand (update: just checked, mine is a Siemens, and I don't find them anymore on Amazon, which is too bad) - and we just got this model at my mom's house. It simply doesn't work. Isn't strong enough. Doesn't hold enough coffee. The blade isn't sharp enough. And then it started smoking from the ""overwork.""

1. This holds far fewer coffee beans than my German model. Which is a problem when you're using a cafetiere that requires a decent amount of ground coffee. Again, compared to my other model, this holds far less coffee.

2. Either the blade isn't sharp enough, or fast enough, or the motor isn't strong enoug, but it simply wouldn't chop up the beans fully. I was going to attach a photo of what it did to my Jamaica Blue Mountain beans after about a minute of grinding (which entailed the machine constantly stopping and me constantly sticking my finger in there to unjam the blade), but I seem to have lost that option in these reviews. Suffice it to say I had chunks of coffee grounds throughout - this stuff didn't even look like Folgers, let alone halfway to espresso, which is how I like my coffee. There were huge chunks of beans in there, a lot of them. It's not that the device doesn't work well, it doesn't work - period.

3. It start smoking after a few minutes of unjamming the thing and trying to continue grinding the beans.

I have owned similar devices for decades. This thing is a piece of junk. It even feels like a piece of junk - very lightweight, in a bad way. At it most basic level, grinding coffee, this thing failed. It simply didn't grind the coffee at all. I'm really disappointed that Cuisinart would put its name on something like this. (I tried to find out where it's made, but it wasn't entirely clear from the box.)

You can check my other reviews, I don't pan everything. This, however, is a piece of garbage. Run, don't walk, to another brand as fast as you can. It's not worth twenty bucks. It's not worth two bucks. It simply doesn't work.

UPDATE: It's dead. Mom just tried using it, and the thing is dead. Mind you, we used this thing once, followed the instructions about not putting in too much coffee (mind you, my german brand has no such rules), and it smoked and went to coffee grinder heaven."
517,problem,"I cannot state strongly enough how quickly you should run from this piece of junk. I've owned coffee grinders for decades - mine is a German brand (update: just checked, mine is a Siemens, and I don't find them anymore on Amazon, which is too bad) - and we just got this model at my mom's house. It simply doesn't work. Isn't strong enough. Doesn't hold enough coffee. The blade isn't sharp enough. And then it started smoking from the ""overwork.""

1. This holds far fewer coffee beans than my German model. Which is a problem when you're using a cafetiere that requires a decent amount of ground coffee. Again, compared to my other model, this holds far less coffee.

2. Either the blade isn't sharp enough, or fast enough, or the motor isn't strong enoug, but it simply wouldn't chop up the beans fully. I was going to attach a photo of what it did to my Jamaica Blue Mountain beans after about a minute of grinding (which entailed the machine constantly stopping and me constantly sticking my finger in there to unjam the blade), but I seem to have lost that option in these reviews. Suffice it to say I had chunks of coffee grounds throughout - this stuff didn't even look like Folgers, let alone halfway to espresso, which is how I like my coffee. There were huge chunks of beans in there, a lot of them. It's not that the device doesn't work well, it doesn't work - period.

3. It start smoking after a few minutes of unjamming the thing and trying to continue grinding the beans.

I have owned similar devices for decades. This thing is a piece of junk. It even feels like a piece of junk - very lightweight, in a bad way. At it most basic level, grinding coffee, this thing failed. It simply didn't grind the coffee at all. I'm really disappointed that Cuisinart would put its name on something like this. (I tried to find out where it's made, but it wasn't entirely clear from the box.)

You can check my other reviews, I don't pan everything. This, however, is a piece of garbage. Run, don't walk, to another brand as fast as you can. It's not worth twenty bucks. It's not worth two bucks. It simply doesn't work.

UPDATE: It's dead. Mom just tried using it, and the thing is dead. Mind you, we used this thing once, followed the instructions about not putting in too much coffee (mind you, my german brand has no such rules), and it smoked and went to coffee grinder heaven."
533,Cuisinart,"I cannot state strongly enough how quickly you should run from this piece of junk. I've owned coffee grinders for decades - mine is a German brand (update: just checked, mine is a Siemens, and I don't find them anymore on Amazon, which is too bad) - and we just got this model at my mom's house. It simply doesn't work. Isn't strong enough. Doesn't hold enough coffee. The blade isn't sharp enough. And then it started smoking from the ""overwork.""

1. This holds far fewer coffee beans than my German model. Which is a problem when you're using a cafetiere that requires a decent amount of ground coffee. Again, compared to my other model, this holds far less coffee.

2. Either the blade isn't sharp enough, or fast enough, or the motor isn't strong enoug, but it simply wouldn't chop up the beans fully. I was going to attach a photo of what it did to my Jamaica Blue Mountain beans after about a minute of grinding (which entailed the machine constantly stopping and me constantly sticking my finger in there to unjam the blade), but I seem to have lost that option in these reviews. Suffice it to say I had chunks of coffee grounds throughout - this stuff didn't even look like Folgers, let alone halfway to espresso, which is how I like my coffee. There were huge chunks of beans in there, a lot of them. It's not that the device doesn't work well, it doesn't work - period.

3. It start smoking after a few minutes of unjamming the thing and trying to continue grinding the beans.

I have owned similar devices for decades. This thing is a piece of junk. It even feels like a piece of junk - very lightweight, in a bad way. At it most basic level, grinding coffee, this thing failed. It simply didn't grind the coffee at all. I'm really disappointed that Cuisinart would put its name on something like this. (I tried to find out where it's made, but it wasn't entirely clear from the box.)

You can check my other reviews, I don't pan everything. This, however, is a piece of garbage. Run, don't walk, to another brand as fast as you can. It's not worth twenty bucks. It's not worth two bucks. It simply doesn't work.

UPDATE: It's dead. Mom just tried using it, and the thing is dead. Mind you, we used this thing once, followed the instructions about not putting in too much coffee (mind you, my german brand has no such rules), and it smoked and went to coffee grinder heaven."
538,machine,"I cannot state strongly enough how quickly you should run from this piece of junk. I've owned coffee grinders for decades - mine is a German brand (update: just checked, mine is a Siemens, and I don't find them anymore on Amazon, which is too bad) - and we just got this model at my mom's house. It simply doesn't work. Isn't strong enough. Doesn't hold enough coffee. The blade isn't sharp enough. And then it started smoking from the ""overwork.""

1. This holds far fewer coffee beans than my German model. Which is a problem when you're using a cafetiere that requires a decent amount of ground coffee. Again, compared to my other model, this holds far less coffee.

2. Either the blade isn't sharp enough, or fast enough, or the motor isn't strong enoug, but it simply wouldn't chop up the beans fully. I was going to attach a photo of what it did to my Jamaica Blue Mountain beans after about a minute of grinding (which entailed the machine constantly stopping and me constantly sticking my finger in there to unjam the blade), but I seem to have lost that option in these reviews. Suffice it to say I had chunks of coffee grounds throughout - this stuff didn't even look like Folgers, let alone halfway to espresso, which is how I like my coffee. There were huge chunks of beans in there, a lot of them. It's not that the device doesn't work well, it doesn't work - period.

3. It start smoking after a few minutes of unjamming the thing and trying to continue grinding the beans.

I have owned similar devices for decades. This thing is a piece of junk. It even feels like a piece of junk - very lightweight, in a bad way. At it most basic level, grinding coffee, this thing failed. It simply didn't grind the coffee at all. I'm really disappointed that Cuisinart would put its name on something like this. (I tried to find out where it's made, but it wasn't entirely clear from the box.)

You can check my other reviews, I don't pan everything. This, however, is a piece of garbage. Run, don't walk, to another brand as fast as you can. It's not worth twenty bucks. It's not worth two bucks. It simply doesn't work.

UPDATE: It's dead. Mom just tried using it, and the thing is dead. Mind you, we used this thing once, followed the instructions about not putting in too much coffee (mind you, my german brand has no such rules), and it smoked and went to coffee grinder heaven."
545,ground coffee,"I cannot state strongly enough how quickly you should run from this piece of junk. I've owned coffee grinders for decades - mine is a German brand (update: just checked, mine is a Siemens, and I don't find them anymore on Amazon, which is too bad) - and we just got this model at my mom's house. It simply doesn't work. Isn't strong enough. Doesn't hold enough coffee. The blade isn't sharp enough. And then it started smoking from the ""overwork.""

1. This holds far fewer coffee beans than my German model. Which is a problem when you're using a cafetiere that requires a decent amount of ground coffee. Again, compared to my other model, this holds far less coffee.

2. Either the blade isn't sharp enough, or fast enough, or the motor isn't strong enoug, but it simply wouldn't chop up the beans fully. I was going to attach a photo of what it did to my Jamaica Blue Mountain beans after about a minute of grinding (which entailed the machine constantly stopping and me constantly sticking my finger in there to unjam the blade), but I seem to have lost that option in these reviews. Suffice it to say I had chunks of coffee grounds throughout - this stuff didn't even look like Folgers, let alone halfway to espresso, which is how I like my coffee. There were huge chunks of beans in there, a lot of them. It's not that the device doesn't work well, it doesn't work - period.

3. It start smoking after a few minutes of unjamming the thing and trying to continue grinding the beans.

I have owned similar devices for decades. This thing is a piece of junk. It even feels like a piece of junk - very lightweight, in a bad way. At it most basic level, grinding coffee, this thing failed. It simply didn't grind the coffee at all. I'm really disappointed that Cuisinart would put its name on something like this. (I tried to find out where it's made, but it wasn't entirely clear from the box.)

You can check my other reviews, I don't pan everything. This, however, is a piece of garbage. Run, don't walk, to another brand as fast as you can. It's not worth twenty bucks. It's not worth two bucks. It simply doesn't work.

UPDATE: It's dead. Mom just tried using it, and the thing is dead. Mind you, we used this thing once, followed the instructions about not putting in too much coffee (mind you, my german brand has no such rules), and it smoked and went to coffee grinder heaven."
